order,combo,o_info
3,"('draw_std', 'draw_sum', 'n1_n2_sum')",-0.7094332774016117
3,"('draw_sum', 'n3_mod5', 'n3_mod7')",-0.5871454449738209
3,"('draw_range', 'draw_sum', 'n1_n2_sum')",-0.5161928319754701
3,"('draw_sum', 'n4_mod5', 'n4_mod7')",-0.5065777078053131
3,"('draw_sum', 'n2_mod5', 'n2_mod7')",-0.48730461492085553
3,"('draw_std', 'draw_sum', 'n4_n5_sum')",-0.4684809938267449
3,"('draw_range', 'draw_sum', 'n1_n3_sum')",-0.3899531469798845
3,"('draw_std', 'draw_sum', 'n1_n3_sum')",-0.3774556897706294
3,"('draw_sum', 'n5_mod5', 'n5_mod7')",-0.3186756800104682
3,"('draw_sum', 'n1_mod5', 'n1_mod7')",-0.316446278989325
3,"('draw_range', 'draw_sum', 'n4_n5_sum')",-0.3083485364556946
3,"('draw_std', 'draw_sum', 'n2_n3_sum')",-0.28258625853898245
3,"('draw_std', 'draw_sum', 'n3_n5_sum')",-0.2358154586973047
3,"('draw_range', 'draw_sum', 'n3_n5_sum')",-0.2350812273108005
3,"('draw_sum', 'draw_sum_roll_mean', 'n4_delta')",-0.1923146740011923
3,"('draw_std', 'draw_sum', 'n1_delta')",-0.1827271642374395
3,"('draw_range', 'draw_sum', 'n1_delta')",-0.1825634615120162
3,"('draw_range', 'draw_sum', 'n2_n3_sum')",-0.18078101230821453
3,"('draw_std', 'draw_sum', 'n2_delta')",-0.17437785105533798
3,"('draw_range_roll_mean', 'draw_sum', 'n4_delta')",-0.17341838050821323
3,"('draw_std_roll_mean', 'draw_sum', 'n4_delta')",-0.1689216366141686
3,"('draw_sum', 'draw_sum_roll_mean', 'n3_delta')",-0.16376713016240885
3,"('draw_sum', 'draw_sum_roll_mean', 'n2_delta')",-0.15508632688921153
3,"('draw_sum', 'n1_mod3', 'n1_mod7')",-0.15239842740432863
3,"('draw_range', 'draw_sum', 'n2_delta')",-0.14894140304685166
3,"('draw_std_roll_mean', 'draw_sum', 'n3_delta')",-0.14677802254535166
3,"('draw_range_roll_mean', 'draw_sum', 'n3_delta')",-0.1451500823142915
3,"('draw_sum', 'draw_sum_roll_mean', 'n2_delta2')",-0.14476190957111612
3,"('draw_std', 'draw_sum', 'n2_delta2')",-0.1385236225763169
3,"('draw_range', 'draw_sum', 'n4_delta2')",-0.13331511364159354
3,"('draw_std_roll_mean', 'draw_sum', 'n2_delta')",-0.13263497731635887
3,"('draw_range_roll_mean', 'draw_sum', 'n2_delta2')",-0.13151823101057047
3,"('draw_range', 'draw_sum', 'n1_delta2')",-0.13146951102573823
3,"('draw_range_roll_mean', 'draw_sum', 'n4_delta2')",-0.12935701214942696
3,"('draw_range_roll_mean', 'draw_sum', 'n2_delta')",-0.12928473176056698
3,"('draw_sum', 'draw_sum_roll_mean', 'n4_delta2')",-0.12891272146399402
3,"('draw_range', 'draw_sum', 'n5_mod7')",-0.12837240668846306
3,"('draw_sum', 'draw_sum_roll_mean', 'n1_delta2')",-0.12696351067285505
3,"('draw_std', 'draw_sum', 'n1_delta2')",-0.12612495408565394
3,"('draw_std_roll_mean', 'draw_sum', 'n2_delta2')",-0.12597718794783574
3,"('draw_range', 'draw_sum', 'n2_delta2')",-0.12504948174718677
3,"('draw_std', 'draw_sum', 'sum_hurst')",-0.12474191675109125
3,"('draw_std_roll_mean', 'draw_sum', 'n4_delta2')",-0.12470009192467302
3,"('draw_range', 'draw_sum', 'sum_hurst')",-0.12462653071780139
3,"('draw_sum', 'n2_delta2', 'sum_hurst')",-0.12151910417958511
3,"('draw_range_roll_mean', 'draw_sum', 'n3_mod7')",-0.12098511477735485
3,"('draw_sum', 'draw_sum_roll_mean', 'n3_mod7')",-0.12076902524276534
3,"('draw_sum', 'n3_mod7', 'sum_hurst')",-0.11997234805938461
3,"('draw_range_roll_mean', 'draw_sum', 'n1_mod7')",-0.119555969617128
3,"('draw_sum', 'n1_delta2', 'sum_hurst')",-0.11842734216919482
3,"('draw_sum', 'n3_mod3', 'n3_mod7')",-0.1182937234721404
3,"('draw_range', 'draw_sum', 'n1_mod7')",-0.11788143843227772
3,"('draw_std_roll_mean', 'draw_sum', 'n4_mod7')",-0.1173253965501182
3,"('draw_range', 'draw_sum', 'n2_mod7')",-0.11725510385596749
3,"('draw_range_roll_mean', 'draw_sum', 'n2_mod7')",-0.11714793522811817
3,"('draw_range_roll_mean', 'draw_sum', 'n4_mod7')",-0.11700528384445619
