order,combo,o_info
3,"('draw_std', 'draw_sum', 'n1_n2_sum')",-0.7048049265983423
3,"('draw_std', 'draw_sum', 'n4_n5_sum')",-0.6137003307728595
3,"('draw_sum', 'n3_mod5', 'n3_mod7')",-0.5750090978707529
3,"('draw_sum', 'n4_mod5', 'n4_mod7')",-0.5431966270453206
3,"('draw_sum', 'n2_mod5', 'n2_mod7')",-0.4809854477508875
3,"('draw_range', 'draw_sum', 'n1_n2_sum')",-0.4739195856646852
3,"('draw_range', 'draw_sum', 'n4_n5_sum')",-0.44469985609665663
3,"('draw_std', 'draw_sum', 'n1_n3_sum')",-0.35369904459499146
3,"('draw_sum', 'n5_mod5', 'n5_mod7')",-0.352966507929553
3,"('draw_range', 'draw_sum', 'n1_n3_sum')",-0.35063466187775383
3,"('draw_sum', 'n1_mod5', 'n1_mod7')",-0.328828388671802
3,"('draw_range', 'draw_sum', 'n3_n5_sum')",-0.32755541930255383
3,"('draw_std', 'draw_sum', 'n3_n5_sum')",-0.32628199753311726
3,"('draw_std', 'draw_sum', 'n2_n3_sum')",-0.270062541472182
3,"('draw_std', 'draw_sum', 'n3_n4_sum')",-0.2221212081935775
3,"('draw_std_roll_mean', 'draw_sum', 'n2_delta2')",-0.20455052824554443
3,"('draw_sum', 'draw_sum_roll_mean', 'n4_delta')",-0.2015625962121348
3,"('draw_range', 'draw_sum', 'draw_sum_roll_mean')",-0.20112323338360483
3,"('draw_range', 'draw_std_roll_mean', 'draw_sum')",-0.1973880066749807
3,"('draw_range', 'draw_range_roll_mean', 'draw_sum')",-0.19388112860267626
3,"('draw_sum', 'draw_sum_roll_mean', 'n4_delta2')",-0.1896259589395477
3,"('draw_range_roll_mean', 'draw_sum', 'n4_delta2')",-0.1875141032474481
3,"('draw_std', 'draw_sum', 'draw_sum_roll_mean')",-0.18745778838411553
3,"('draw_std_roll_mean', 'draw_sum', 'n4_delta')",-0.18571589530619903
3,"('draw_std_roll_mean', 'draw_sum', 'n4_delta2')",-0.18531492246640724
3,"('draw_range', 'draw_sum', 'sum_hurst')",-0.18515761356701788
3,"('draw_std', 'draw_std_roll_mean', 'draw_sum')",-0.1837790227758198
3,"('draw_std', 'draw_sum', 'pb_delta')",-0.18317193145799848
3,"('draw_range_roll_mean', 'draw_sum', 'n2_delta2')",-0.18314209140351778
3,"('draw_range', 'draw_sum', 'n2_n3_sum')",-0.18235435047008153
3,"('draw_range_roll_mean', 'draw_sum', 'n4_mod7')",-0.18052222973161136
3,"('draw_range', 'draw_sum', 'pb_delta')",-0.18049155792894211
3,"('draw_range_roll_mean', 'draw_std', 'draw_sum')",-0.1794592750797115
3,"('draw_std_roll_mean', 'draw_sum', 'n2_mod7')",-0.17916370407202464
3,"('draw_range_roll_mean', 'draw_sum', 'n4_delta')",-0.17805229266044265
3,"('draw_sum', 'n4_mod7', 'sum_hurst')",-0.17564968831173644
3,"('draw_sum', 'n2_delta2', 'sum_hurst')",-0.17564906247961432
3,"('draw_std_roll_mean', 'draw_sum', 'n4_mod7')",-0.17388691939173384
3,"('draw_sum', 'n1_mod7', 'sum_hurst')",-0.1730597354851362
3,"('draw_range', 'draw_sum', 'n1_delta2')",-0.1727826144036264
3,"('draw_std_roll_mean', 'draw_sum', 'n5_mod7')",-0.17177484438809643
3,"('draw_std', 'draw_sum', 'sum_hurst')",-0.17108944345016397
3,"('draw_range', 'draw_sum', 'n2_delta2')",-0.17082771777083394
3,"('draw_std_roll_mean', 'draw_sum', 'n3_delta2')",-0.1692098660035839
3,"('draw_range_roll_mean', 'draw_sum', 'n3_delta2')",-0.16849299354596425
3,"('draw_sum', 'n4_delta2', 'pb_delta')",-0.16810409233346846
3,"('draw_range', 'draw_sum', 'n3_n4_sum')",-0.1678802144085889
3,"('draw_sum', 'draw_sum_roll_mean', 'n2_delta2')",-0.16685084209710155
3,"('draw_sum', 'n3_delta2', 'pb_delta')",-0.16634530078594167
3,"('draw_range', 'draw_sum', 'n1_delta')",-0.165389910352431
3,"('draw_range_roll_mean', 'draw_sum', 'n3_mod7')",-0.165388742533068
